IRI_KEY,OU,EST_ACV,Market_Name,Open,Clsd,MskdName
200039,GR,9.602997,BUFFALO/ROCHESTER,539,1219,Chain87
200171,GR,28.45499,MILWAUKEE,522,9998,Chain97
200197,GR,11.31499,PEORIA/SPRINGFLD.,903,9998,Chain59
200233,GR,7.473,OKLAHOMA CITY,1122,1150,Chain102
200272,GR,13.266,LOS ANGELES,873,9998,Chain124
200287,GR,7.607998,SAN FRANCISCO,795,9998,Chain94
200297,GR,22.756,"PORTLAND,OR",999,9998,Chain79
200334,GR,19.26599,"PORTLAND,OR",922,1329,Chain137
200411,GR,18.633,NEW YORK,1014,9998,Chain66
200439,GR,13.93999,WEST TEX/NEW MEX,920,9998,Chain110
200479,GR,18.65199,SAN FRANCISCO,559,1362,Chain7
200485,GR,5.787998,OKLAHOMA CITY,490,9998,Chain102
200488,GR,26.08199,BOSTON,519,1325,Chain107
200489,GR,15.59,HOUSTON,701,9998,Chain34
200492,GR,12.227,LOS ANGELES,473,9998,Chain124
200494,GR,20.168,GREEN BAY,486,1435,Chain115
200499,GR,9.476997,OKLAHOMA CITY,490,9998,Chain102
200501,GR,28.87299,SAN FRANCISCO,554,9998,Chain7
200510,GR,30.56898,HARTFORD,473,1210,Chain114
200511,GR,19.26599,WEST TEX/NEW MEX,456,1145,Chain39
200531,GR,5.598,OKLAHOMA CITY,490,1264,Chain102
200539,GR,9.949997,CHARLOTTE,605,9998,Chain16
200541,GR,19.26599,WEST TEX/NEW MEX,456,1145,Chain39
200542,GR,21.952,GREEN BAY,486,9998,Chain115
200545,GR,7.473,OKLAHOMA CITY,490,1118,Chain102
200553,GR,31.92,LOS ANGELES,473,9998,Chain124
200563,GR,20.64099,SAN DIEGO,496,1150,Chain5
200564,GR,19.26599,EAU CLAIRE,584,1243,NONE
200566,GR,8.428993,"TULSA,OK",490,9998,Chain102
200569,GR,15.006,MILWAUKEE,519,1238,Chain42
200578,GR,37.23798,NEW ENGLAND,496,1401,Chain50
200587,GR,9.300995,SAN DIEGO,496,1208,Chain5
200592,GR,19.26599,WEST TEX/NEW MEX,522,1145,Chain39
200606,GR,7.473,"TULSA,OK",490,1169,Chain102
200610,GR,25.659,MILWAUKEE,758,9998,Chain97
200620,GR,7.473,"TULSA,OK",490,1169,Chain102
200623,GR,11.973,"NEW ORLEANS, LA",610,9998,Chain10
200626,GR,15.006,MILWAUKEE,499,1222,Chain42
200630,GR,19.26599,WEST TEX/NEW MEX,566,1134,Chain39
200633,GR,36.13599,BOSTON,480,9998,Chain107
200635,GR,16.04399,SALT LAKE CITY,514,9998,Chain110
200642,GR,18.65199,SAN FRANCISCO,546,1271,Chain7
200655,GR,17.353,LOS ANGELES,473,9998,Chain124
202312,GR,8.134995,OMAHA,932,9998,Chain81
202530,GR,19.26599,CHARLOTTE,494,1188,Chain131
202785,GR,8.595993,RICHMOND/NORFOLK,608,9998,Chain35
202790,GR,18.75099,KNOXVILLE,444,1411,Chain70
202798,GR,11.321,SOUTH CAROLINA,518,1187,Chain16
203010,GR,9.090996,RICHMOND/NORFOLK,485,9998,Chain35
203018,GR,19.23199,"DALLAS, TX",983,1199,Chain24
203204,GR,10.41399,LOS ANGELES,873,9998,Chain124
203231,GR,17.198,NEW YORK,435,1363,Chain10
203563,GR,8.052994,ROANOKE,565,9998,Chain35
203611,GR,6.053997,ROANOKE,1142,1163,Chain116
203614,GR,8.977997,NEW YORK,810,1299,Chain9
203985,GR,6.602997,ROANOKE,863,1213,Chain35
204033,GR,22.56999,"WASHINGTON, DC",439,1298,Chain44
204202,GR,27.97299,SYRACUSE,517,1315,Chain85
204292,GR,14.78799,ROANOKE,879,9998,Chain54
204307,GR,11.462,SOUTH CAROLINA,818,9998,Chain35
204345,GR,27.452,SYRACUSE,806,1220,Chain50
204346,GR,9.602997,SYRACUSE,497,1183,Chain87
204353,GR,15.827,RALEIGH/DURHAM,895,9998,Chain52
204354,GR,17.15099,PHILADELPHIA,678,9998,Chain9
204359,GR,30.56898,NEW YORK,1119,1119,Chain114
204470,GR,19.26599,NEW YORK,435,1117,Chain45
204483,GR,8.488998,HARRISBURG/SCRANT,435,1299,Chain87
204594,GR,30.745,NEW YORK,1018,9998,Chain10
204828,GR,5.705997,RICHMOND/NORFOLK,1062,9998,Chain35
204901,GR,19.26599,NEW ENGLAND,566,1131,Chain45
204946,GR,17.198,BOSTON,639,1200,Chain10
205066,GR,37.086,BOSTON,795,9998,Chain50
205230,GR,28.297,PHILADELPHIA,709,9998,Chain41
205272,GR,7.179996,"NEW ORLEANS, LA",997,9998,Chain127
205282,GR,22.976,SPOKANE,1142,9998,Chain119
205395,GR,11.919,SPOKANE,700,9998,Chain4
205709,GR,11.321,CHARLOTTE,459,1204,Chain16
205926,GR,10.27699,ROANOKE,819,1221,Chain35
205969,GR,15.811,ATLANTA,958,9998,Chain54
206384,GR,19.26599,RALEIGH/DURHAM,435,1294,Chain131
206401,GR,28.80499,PHILADELPHIA,996,9998,Chain9
206587,GR,42.48199,NEW ENGLAND,795,9998,Chain30
206607,GR,11.654,PHILADELPHIA,435,9998,Chain9
207053,GR,6.053997,ROANOKE,1146,1361,Chain116
207291,GR,5.230999,ROANOKE,860,9998,Chain35
207595,GR,11.642,CHARLOTTE,471,1293,Chain35
207840,GR,19.26599,ROANOKE,842,1207,Chain131
208217,GR,10.27699,SOUTH CAROLINA,908,1429,Chain35
208519,GR,2.914,KNOXVILLE,1161,1168,Chain51
208759,GR,6.303997,KNOXVILLE,494,9998,Chain35
208769,GR,15.59599,ROANOKE,986,9998,Chain35
208980,GR,20.605,"NEW ORLEANS, LA",435,9998,Chain125
209039,GR,26.728,SACRAMENTO,958,1159,Chain117
209077,GR,19.26599,CHARLOTTE,984,1355,Chain131
209126,GR,7.740997,CHARLOTTE,891,9998,Chain35
209225,GR,5.005997,WEST TEX/NEW MEX,871,1217,Chain14
209888,GR,19.26599,MISSISSIPPI,877,1114,Chain74
209957,GR,11.919,MISSISSIPPI,795,1394,Chain60
209994,GR,16.702,SOUTH CAROLINA,1128,9998,Chain54
210189,GR,14.98599,"NEW ORLEANS, LA",435,1206,Chain125
210202,GR,19.26599,ROANOKE,842,1324,Chain131
210580,GR,19.23999,NEW YORK,1033,9998,Chain10
210582,GR,19.26599,CHARLOTTE,837,1355,Chain131
210815,GR,19.12199,NEW YORK,890,9998,Chain89
210830,GR,22.86299,SYRACUSE,486,9998,Chain87
210868,GR,23.23999,HARRISBURG/SCRANT,1150,9998,Chain12
210913,GR,10.27699,CHARLOTTE,692,1382,Chain35
211230,GR,32.84198,NEW ENGLAND,435,1233,Chain107
211301,GR,18.38899,NEW ENGLAND,1001,9998,Chain50
211327,GR,19.26599,NEW YORK,435,1129,Chain45
211395,GR,45.47498,NEW YORK,842,1193,Chain134
211912,GR,9.602997,HARRISBURG/SCRANT,833,1271,Chain87
211926,GR,10.948,MISSISSIPPI,817,9998,Chain60
212482,GR,18.40599,KNOXVILLE,1139,9998,Chain70
212957,GR,23.01299,ROANOKE,842,9998,Chain70
213109,GR,9.375,ATLANTA,1123,1298,Chain126
213133,GR,24.267,PHILADELPHIA,589,9998,Chain10
213235,GR,8.163994,SOUTH CAROLINA,1129,9998,Chain135
213290,GR,45.40698,PITTSFIELD,435,9998,Chain114
213511,GR,17.198,PHILADELPHIA,1038,1130,Chain10
213975,GR,9.602997,SYRACUSE,843,1271,Chain87
214045,GR,8.086998,SPOKANE,882,9998,Chain119
214051,GR,15.337,SPOKANE,727,1269,Chain4
214066,GR,19.78899,SPOKANE,435,1117,Chain119
214088,GR,11.94099,SPOKANE,842,9998,Chain119
214274,GR,19.26599,RALEIGH/DURHAM,946,1342,Chain131
214465,GR,18.155,SYRACUSE,1107,9998,Chain85
214468,GR,17.23,SPOKANE,700,1145,Chain4
214636,GR,39.185,NEW ENGLAND,1118,1230,Chain85
214705,GR,15.006,MILWAUKEE,1121,1274,Chain42
214709,GR,38.84497,MILWAUKEE,567,9998,Chain97
214734,GR,19.80499,SOUTH CAROLINA,709,9998,Chain16
